"MOC","301007645565635","017881044129250","18016754110","12282120300","000006623839681",12879,1228,2171.2,"2013-09-10 07:46:44","","2013-09-10 08:22:55","00","11","000006623839681"
"MTC","301007469712137","011948009365740","18016754110","12282120300","000006623839681",20301,3798,2171.2,"2013-09-10 07:46:44","","2013-09-10 08:22:55","00","11","000006623839681"
"MOC","301007219484603","012159009973670","16200978000","13341643600","000004564562495",55645,829,603.4,"2013-09-10 08:12:59","","2013-09-10 08:23:03","00","11","000004564562495"
"MOC","301007241783737","011364001782430","12054191900","12097132841","000006735454978",21887,4486,2326.5,"2013-09-10 07:44:09","","2013-09-10 08:22:55","00","11","000006735454978"
"MOC","301007101878691","012161009811260","14693677010","15632666900","000006623839681",2341,9116,821.3,"2013-09-10 08:09:19","","2013-09-10 08:23:00","00","11","000006623839681"
"MTC","301007346021042","011612008378730","14693677010","15632666900","000006623839681",8977,5349,821.3,"2013-09-10 08:09:19","","2013-09-10 08:23:00","00","11","000006623839681"
"MTC","301007237136198","011300008680360","13020331861","12744391900","000008582293212",40535,7617,672.8,"2013-09-10 08:11:55","","2013-09-10 08:23:08","00","11","000008582293212"
"MTC","301007293568113","011812001751430","19475132100","16275061510","000007608621364",49814,9114,571.4,"2013-09-10 08:13:40","","2013-09-10 08:23:11","00","11","000007608621364"
"MTC","301007117067559","012159004953300","18152197741","13319170800","000007608621364",16748,6637,1716.4,"2013-09-10 07:54:22","","2013-09-10 08:22:58","00","11","000007608621364"
"MTC","301007653710625","011300005579150","16124069852","18024899100","000008582293212",30761,3773,2710.9,"2013-09-10 07:37:46","","2013-09-10 08:22:57","00","11","000008582293212"
